Category,Food Name,Description,Food Group,Food Subgroup,Edible Portion,Default Serving Size,Alternative Serving Size(s),Source of Data,Last Updated,Per 100 Unit,Per Serving Size,Energy (kcal) - Per 100,Energy (kcal) - Per Serving,Protein (g) - Per 100,Protein (g) - Per Serving,Total Fat (g) - Per 100,Total Fat (g) - Per Serving,Saturated Fat (g) - Per 100,Saturated Fat (g) - Per Serving,Trans Fat (g) - Per 100,Trans Fat (g) - Per Serving,Carbohydrate (g) - Per 100,Carbohydrate (g) - Per Serving,Sugar (g) - Per 100,Sugar (g) - Per Serving,Added Sugar (g) - Per 100,Added Sugar (g) - Per Serving,Dietary Fibre (g) - Per 100,Dietary Fibre (g) - Per Serving,Sodium (mg) - Per 100,Sodium (mg) - Per Serving,Potassium (mg) - Per 100,Potassium (mg) - Per Serving,Calcium (mg) - Per 100,Calcium (mg) - Per Serving,Iron (mg) - Per 100,Iron (mg) - Per Serving,Water (g) - Per 100,Water (g) - Per Serving,Nitrogen (g) - Per 100,Nitrogen (g) - Per Serving,Polyunsaturated Fat (g) - Per 100,Polyunsaturated Fat (g) - Per Serving,Monounsaturated Fat (g) - Per 100,Monounsaturated Fat (g) - Per Serving,Omega-3 (EPA+DHA) (mg) - Per 100,Omega-3 (EPA+DHA) (mg) - Per Serving,Cholesterol (mg) - Per 100,Cholesterol (mg) - Per Serving,Glucose (g) - Per 100,Glucose (g) - Per Serving,Fructose (g) - Per 100,Fructose (g) - Per Serving,Maltose (g) - Per 100,Maltose (g) - Per Serving,Galactose (g) - Per 100,Galactose (g) - Per Serving,Sucrose (g) - Per 100,Sucrose (g) - Per Serving,Lactose (g) - Per 100,Lactose (g) - Per Serving,Starch (g) - Per 100,Starch (g) - Per Serving,Vitamin A (μg) - Per 100,Vitamin A (μg) - Per Serving,Retinol (μg) - Per 100,Retinol (μg) - Per Serving,B-carotene (μg) - Per 100,B-carotene (μg) - Per Serving,Thiamine (Vitamin B1) (mg) - Per 100,Thiamine (Vitamin B1) (mg) - Per Serving,Riboflavin (Vitamin B2) (mg) - Per 100,Riboflavin (Vitamin B2) (mg) - Per Serving,Vitamin B6 (mg) - Per 100,Vitamin B6 (mg) - Per Serving,Folic Acid (Vitamin B9) (μg) - Per 100,Folic Acid (Vitamin B9) (μg) - Per Serving,Vitamin B12 (μg) - Per 100,Vitamin B12 (μg) - Per Serving,Vitamin C (mg) - Per 100,Vitamin C (mg) - Per Serving,Vitamin D (IU) - Per 100,Vitamin D (IU) - Per Serving,Vitamin E (IU) - Per 100,Vitamin E (IU) - Per Serving,Vitamin K (μg) - Per 100,Vitamin K (μg) - Per Serving,Phosphorus (mg) - Per 100,Phosphorus (mg) - Per Serving,Selenium (μg) - Per 100,Selenium (μg) - Per Serving,Zinc (mg) - Per 100,Zinc (mg) - Per Serving
Poultry,"Roasted chicken breast, with skin",Roasted chicken breast,Poultry,Chicken,75%,1 piece(s) = 90g,-,Borrowed,2025,Per 100g,Per Serving (90g),184,124,27.48,18.55,8.18,5.52,2.11,1.42,0.09,0.06,0.02,0.01,0.02,0.01,-,-,0,0,347,234,-,-,15,10,0.55,0.37,-,-,-,-,1.16,0.78,3.54,2.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Poultry,Baked chicken thigh,Baked chicken thigh,Poultry,Chicken,64%,1 piece(s) = 100g,-,Borrowed,2025,Per 100g,Per Serving (100g),227,145,23,14.72,15,9.6,4.6,2.94,75.79,48.51,0,0,0,0,-,-,0,0,73,47,-,-,22,14,0.92,0.59,-,-,-,-,2.03,1.3,7.53,4.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,26.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Poultry,"Braised chicken thigh, with skin",Boiled chicken thigh,Poultry,Chicken,67%,1 piece(s) = 100g,-,Borrowed,2025,Per 100g,Per Serving (100g),232,155,23.26,15.58,14.74,9.88,4.11,2.75,-,-,0,0,0,0,-,-,0,0,71,48,-,-,11,7,1.37,0.92,-,-,-,-,3.25,2.18,5.84,3.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,30.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Poultry,"Roasted chicken thigh, with skin","Dark meat from the upper leg portion of the chicken, prepared with skin and bone, and oven baked until golden, offering a tender, juicy texture.",Poultry,Chicken,64%,1 piece(s) = 137g,1 palm-sized piece(s) = 90g,Borrowed,2025,Per 100g,Per Serving (137g),232,203,23.26,20.39,14.71,12.9,4.11,3.6,Trace,Trace,0,0,0,0,-,-,0,0,102,89,253,222,9,8,1.08,0.95,61.96,54.33,-,-,2.99,2.62,6.26,5.49,11,9.64,133,116.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,14.03,16,14.03,0,0,0.09,0.08,0.19,0.17,0.41,0.36,4,3.51,0.44,0.39,0,0,7,6.14,0.28,0.25,3.3,2.89,216,189,25.3,22.18,1.73,1.52
Poultry,Baked chicken skin,"Crispy, golden skin from various parts of the chicken, oven baked until rendered and crunchy.",Poultry,Chicken,100%,1 piece(s) = 55g,-,Borrowed,2025,Per 100g,Per Serving (55g),435,239,22.3,12.27,38.9,21.4,11.84,6.51,0.22,0.12,0,0,0,0,0,0,0,0,78,43,220,121,54,30,1.2,0.66,39.9,21.94,3.57,1.96,5.15,2.83,19.78,10.88,0,0,180,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,71.5,130,71.5,0,0,0,0,0.19,0.1,0.2,0.11,0,0,0.7,0.38,0,0,304,167.2,3.13,1.72,-,-,260,143,30,16.5,1.5,0.83
Poultry,Braised chicken heart,"Tender organ meat from the chicken's heart, gently braised until cooked through, offering a firm, dense texture.",Poultry,Chicken,100%,1 cup(s) = 145g,-,Borrowed,2025,Per 100g,Per Serving (145g),185,268,26.41,38.29,7.92,11.48,2.26,3.28,-,-,0.1,0.15,-,-,-,-,0,0,48,70,132,191,19,28,9.03,13.09,64.85,94.03,-,-,2.3,3.34,2.01,2.91,0,0,242,350.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,11.6,8,11.6,-,-,0.07,0.1,0.74,1.07,0.32,0.46,80,116,7.29,10.57,1.8,2.61,-,-,-,-,-,-,199,289,8,11.6,7.3,10.59
Poultry,Braised chicken liver,"Soft organ meat from the chicken's liver, with large vessels, gently braised until tender, offering a smooth, creamy texture with a rich, earthy flavour and distinctive iron-like taste.",Poultry,Chicken,98%,1 piece(s) = 44g,-,Borrowed,2025,Per 100g,Per Serving (44g),167,72,24.46,10.55,6.51,2.81,2.06,0.89,Trace,Trace,0.87,0.38,0,0,-,-,0,0,76,33,263,113,11,5,11.63,5.01,66.81,28.81,-,-,1.99,0.86,1.42,0.61,0,0,563,242.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3981,1716.61,3978,1715.31,30,12.94,0.29,0.13,1.99,0.86,0.76,0.33,578,249.23,16.85,7.27,27.9,12.03,0,0,1.22,0.53,0,0,405,175,82.4,35.53,3.98,1.72
Poultry,"Braised chicken thigh, without skin","Cooked dark meat from the upper leg portion of the chicken, prepared without skin and with bone, gently braised until tender, offering a soft, juicy texture.",Poultry,Chicken,67%,1 piece(s) = 200g,-,Borrowed,2025,Per 100g,Per Serving (200g),195,261,25,33.5,9.79,13.12,2.71,3.63,-,-,0,0,0,0,-,-,0,0,75,101,183,245,11,15,1.42,1.9,65.59,87.89,-,-,2.24,3,3.7,4.96,60,80.4,90,120.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,25.46,19,25.46,0,0,0.06,0.08,0.22,0.29,0.21,0.28,7,9.38,0.21,0.28,0,0,5,6.7,0.4,0.54,3.6,4.82,149,200,17.1,22.91,2.58,3.46
Poultry,"Fried chicken drumstick, without skin","Cooked dark meat from the lower leg portion of the chicken, prepared without skin and deep-fried until golden, offering a tender, juicy texture with rich, savoury flavour",Poultry,Chicken,61%,1 piece(s) = 130g,-,Borrowed,2025,Per 100g,Per Serving (130g),195,155,28.62,22.7,8.08,6.41,2.13,1.69,-,-,0,0,-,-,-,-,0,0,96,76,249,197,12,10,1.32,1.05,62.24,49.36,-,-,1.97,1.56,2.94,2.33,60,47.58,94,74.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,14.27,18,14.27,-,-,0.08,0.06,0.24,0.19,0.39,0.31,9,7.14,0.35,0.28,0,0,-,-,-,-,-,-,186,147,19.6,15.54,3.22,2.55
Poultry,"Roasted chicken thigh, without skin","Dark meat from the upper leg portion of the chicken, prepared without skin and with bone, oven baked until cooked through, offering a tender, juicy texture.",Poultry,Chicken,64%,1 piece(s) = 200g,-,Borrowed,2025,Per 100g,Per Serving (200g),179,229,24.76,31.69,8.15,10.43,2.31,2.96,Trace,Trace,0,0,0,0,-,-,0,0,106,136,269,344,9,12,1.13,1.45,67,85.76,-,-,1.7,2.18,3.36,4.3,10,12.8,133,170.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,10.24,8,10.24,0,0,0.1,0.13,0.22,0.28,0.46,0.59,5,6.4,0.42,0.54,0,0,7,8.96,0.27,0.35,3.9,4.99,230,294,27.1,34.69,1.92,2.46
