Category,Food Name,Description,Food Group,Food Subgroup,Edible Portion,Default Serving Size,Alternative Serving Size(s),Source of Data,Last Updated,Per 100 Unit,Per Serving Size,Energy (kcal) - Per 100,Energy (kcal) - Per Serving,Protein (g) - Per 100,Protein (g) - Per Serving,Total Fat (g) - Per 100,Total Fat (g) - Per Serving,Saturated Fat (g) - Per 100,Saturated Fat (g) - Per Serving,Trans Fat (g) - Per 100,Trans Fat (g) - Per Serving,Carbohydrate (g) - Per 100,Carbohydrate (g) - Per Serving,Sugar (g) - Per 100,Sugar (g) - Per Serving,Added Sugar (g) - Per 100,Added Sugar (g) - Per Serving,Dietary Fibre (g) - Per 100,Dietary Fibre (g) - Per Serving,Sodium (mg) - Per 100,Sodium (mg) - Per Serving,Potassium (mg) - Per 100,Potassium (mg) - Per Serving,Calcium (mg) - Per 100,Calcium (mg) - Per Serving,Iron (mg) - Per 100,Iron (mg) - Per Serving,Water (g) - Per 100,Water (g) - Per Serving,Nitrogen (g) - Per 100,Nitrogen (g) - Per Serving,Polyunsaturated Fat (g) - Per 100,Polyunsaturated Fat (g) - Per Serving,Monounsaturated Fat (g) - Per 100,Monounsaturated Fat (g) - Per Serving,Omega-3 (EPA+DHA) (mg) - Per 100,Omega-3 (EPA+DHA) (mg) - Per Serving,Cholesterol (mg) - Per 100,Cholesterol (mg) - Per Serving,Glucose (g) - Per 100,Glucose (g) - Per Serving,Fructose (g) - Per 100,Fructose (g) - Per Serving,Maltose (g) - Per 100,Maltose (g) - Per Serving,Galactose (g) - Per 100,Galactose (g) - Per Serving,Sucrose (g) - Per 100,Sucrose (g) - Per Serving,Lactose (g) - Per 100,Lactose (g) - Per Serving,Starch (g) - Per 100,Starch (g) - Per Serving,Vitamin A (μg) - Per 100,Vitamin A (μg) - Per Serving,Retinol (μg) - Per 100,Retinol (μg) - Per Serving,B-carotene (μg) - Per 100,B-carotene (μg) - Per Serving,Thiamine (Vitamin B1) (mg) - Per 100,Thiamine (Vitamin B1) (mg) - Per Serving,Riboflavin (Vitamin B2) (mg) - Per 100,Riboflavin (Vitamin B2) (mg) - Per Serving,Vitamin B6 (mg) - Per 100,Vitamin B6 (mg) - Per Serving,Folic Acid (Vitamin B9) (μg) - Per 100,Folic Acid (Vitamin B9) (μg) - Per Serving,Vitamin B12 (μg) - Per 100,Vitamin B12 (μg) - Per Serving,Vitamin C (mg) - Per 100,Vitamin C (mg) - Per Serving,Vitamin D (IU) - Per 100,Vitamin D (IU) - Per Serving,Vitamin E (IU) - Per 100,Vitamin E (IU) - Per Serving,Vitamin K (μg) - Per 100,Vitamin K (μg) - Per Serving,Phosphorus (mg) - Per 100,Phosphorus (mg) - Per Serving,Selenium (μg) - Per 100,Selenium (μg) - Per Serving,Zinc (mg) - Per 100,Zinc (mg) - Per Serving
Beverages,Soy milk (no topping),Soybean milk made from soaked soya beans and water,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),55,248,3.4,15.3,1.74,7.83,0.27,1.22,0,0,6.5,29.25,5.16,23.22,-,-,-,-,-,-,137,617,12,54,0.49,2.21,91.02,409.59,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,5.16,23.22,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk (less sugar),Beverage made from soaked soya beans and water with less sugar,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),45,203,3.53,15.89,1.74,7.83,0.29,1.31,0,0,3.89,17.51,2.8,12.6,-,-,-,-,-,-,75,338,12,54,0.49,2.21,92.58,416.61,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,2.8,12.6,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,"Soy milk (less sugar, packaged)",Ready-to-drink soybean milk with less sugar,Beverages,Soy milk,100%,1 glass (200ml) = 200ml,-,NIP,2025,Per 100ml,Per Serving (200ml),53,106,3.12,6.24,1.51,3.02,0.3,0.6,0,0,6.76,13.52,4.08,8.16,-,-,0.44,0.88,9,18,-,-,95,190,0.39,0.78,-,-,-,-,0.45,0.9,0.18,0.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,"Soy milk (no sugar, no topping)","Soybean milk made from soaked soya beans and water, with no sugar added",Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),35,158,3.65,16.43,1.74,7.83,0.3,1.35,0,0,1.27,5.72,0.44,1.98,-,-,-,-,-,-,12,54,12,54,0.49,2.21,94.14,423.63,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0.44,1.98,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk (packaged),Ready-to-drink soybean milk,Beverages,Soy milk,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),52,130,2.57,6.42,1.77,4.43,0.29,0.73,0,0,6.59,16.48,5.15,12.88,-,-,0.37,0.93,35,88,-,-,82,205,0.41,1.03,-,-,-,-,1.09,2.73,0.73,1.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk with grass jelly,Soybean milk served with black grass jelly pieces,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),43,194,2.01,9.04,0.96,4.32,0.16,0.72,0,0,6.41,28.85,5.96,26.82,-,-,-,-,-,-,93,419,8,36,0.37,1.67,93.09,418.91,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,5.96,26.82,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk with pearls,Soybean milk served with tapioca pearls,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),74,333,2.83,12.74,1.42,6.39,0.19,0.86,Trace,Trace,12.46,56.07,7.64,34.38,-,-,-,-,-,-,104,468,10,45,0.39,1.76,86.14,387.63,-,-,0.74,3.33,0.25,1.13,Trace,Trace,-,-,Trace,Trace,Trace,Trace,Trace,Trace,Trace,Trace,7.64,34.38,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk with pearls (no sugar),Soybean milk served with tapioca pearls and no added sugar,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),57,257,3.12,14.04,1.63,7.33,0.22,0.99,Trace,Trace,7.38,33.21,2.36,10.62,-,-,-,-,-,-,123,554,11,50,0.44,1.98,93.81,422.15,-,-,0.86,3.87,0.29,1.31,Trace,Trace,-,-,Trace,Trace,Trace,Trace,Trace,Trace,Trace,Trace,2.36,10.62,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk with pearls (less sugar),Soybean milk served with tapioca pearls and lower sugar level,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),63,284,2.92,13.14,1.43,6.44,0.2,0.9,Trace,Trace,9.58,43.11,4.97,22.37,-,-,-,-,-,-,112,504,11,50,0.41,1.84,86.44,388.98,-,-,0.77,3.47,0.26,1.17,Trace,Trace,-,-,Trace,Trace,Trace,Trace,Trace,Trace,Trace,Trace,4.97,22.37,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,"Soy milk (less sugar, no topping)",Soybean milk made from soaked soya beans and water with lower sugar level,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),43,194,3.55,15.97,1.67,7.52,0.27,1.22,0,0,3.43,15.44,2.89,13.01,-,-,-,-,-,-,143,644,12,54,0.48,2.16,93.08,418.86,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,2.89,13.01,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk with grass jelly (no sugar),Soybean milk served with black grass jelly pieces and no added sugar,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),24,108,2.12,9.54,0.99,4.45,0.17,0.77,0,0,1.43,6.44,0.57,2.56,-,-,-,-,-,-,106,477,9,41,0.4,1.8,96.28,433.26,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0.57,2.56,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk with grass jelly (less sugar),Soybean milk served with black grass jelly pieces with lower sugar level,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),32,144,1.96,8.82,0.96,4.32,0.17,0.77,0,0,3.83,17.24,3.16,14.22,-,-,-,-,-,-,95,428,9,41,0.29,1.31,93.78,422.01,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,3.16,14.22,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Coconut water,Natural clear liquid from coconut,Beverages,100% Juices,100%,1 glass (250ml) = 250ml,-,Borrowed,2025,Per 100ml,Per Serving (250ml),22,55,0,0,0,0,Trace,Trace,-,-,5.6,14,5.6,14,-,-,0,0,1,3,-,-,14,35,0.1,0.25,-,-,-,-,Trace,Trace,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.6,11.5,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,"Coconut water (less sugar, packaged)",Ready-to-drink coconut juice with less sugar,Beverages,100% Juices,100%,1 glass (250ml) = 250ml,"1 small can/carton (330ml) = 330ml, 1 large can/carton (500ml) = 500ml",NIP,2025,Per 100ml,Per Serving (250ml),19,48,0.1,0.25,0,0,0,0,0,0,4.59,11.48,4,10,-,-,0,0,14,35,-,-,14,35,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Fresh fruit juice (any flavour),Freshly made juice made from a mix of multiple vegetables,Beverages,Juice drinks,100%,1 medium cup(s) = 400ml,1 large cup(s) = 500ml,Derived,2026,Per 100ml,Per Serving (400ml),42,168,0.53,2.12,0.07,0.28,0,0,0,0,9.65,38.6,9.05,36.2,-,-,-,-,-,-,138,552,45,180,0.19,0.76,92.33,369.32,-,-,-,-,-,-,-,-,-,-,3.45,13.8,4.48,17.92,0.07,0.28,0,0,1.03,4.12,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Fresh mixed fruit or vegetable juice,Freshly made juice made from a mix of multiple fruits and/or vegetables,Beverages,Juice drinks,100%,1 medium cup(s) = 400ml,1 large cup(s) = 500ml,Derived,2026,Per 100ml,Per Serving (400ml),36,144,0.54,2.16,0.11,0.44,0.02,0.08,Trace,Trace,7.97,31.88,7.37,29.48,-,-,-,-,-,-,162,648,30,120,0.16,0.64,93.15,372.6,-,-,0.01,0.04,Trace,Trace,Trace,Trace,-,-,2.61,10.44,3.87,15.48,0.04,0.16,Trace,Trace,0.86,3.44,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Fresh sugarcane juice,Sweet natural beverage made with extracted juice from pressed sugar cane,Beverages,100% Juices,100%,1 medium cup(s) = 550ml,"1 small cup(s) = 250ml, 1 large cup(s) = 700ml",Derived,2026,Per 100ml,Per Serving (550ml),55,303,0.23,1.27,0,0,0,0,0,0,13.4,73.7,13.36,73.48,-,-,-,-,-,-,108,594,5,28,0.15,0.83,89.38,491.59,-,-,-,-,-,-,-,-,-,-,2.22,12.21,2.03,11.17,0,0,0,0,9.13,50.22,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Fresh vegetable juice (any flavour),Freshly made juice made from a mix of multiple fruits,Beverages,Juice drinks,100%,1 medium cup(s) = 400ml,1 large cup(s) = 500ml,Derived,2026,Per 100ml,Per Serving (400ml),29,116,0.54,2.16,0.15,0.6,0.03,0.12,Trace,Trace,6.29,25.16,5.68,22.72,-,-,-,-,-,-,185,740,15,60,0.12,0.48,93.97,375.88,-,-,0.01,0.04,Trace,Trace,Trace,Trace,-,-,1.76,7.04,3.25,13,Trace,Trace,Trace,Trace,0.68,2.72,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,"Orange juice (less sugar, packaged)",Ready-to-drink orange juice with less sugar,Beverages,100% Juices,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),43,108,0.8,2,0.05,0.13,0,0,0,0,9.6,24,8.55,21.38,-,-,0.2,0.5,3,8,-,-,0,0,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,100,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Rose drink (from syrup),Floral beverage made by diluting rose syrup with water,Beverages,Cordials,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),43,108,0,0,0,0,0,0,0,0,10.8,27,10.8,27,-,-,0,0,3,8,-,-,0,0,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Coconut avocado shake (no topping),Creamy beverage blending fresh avocado with coconut milk and ice and no topping,Beverages,Fruit smoothies,100%,1 medium cup(s) = 450ml,1 large cup(s) = 600ml,Derived,2026,Per 100ml,Per Serving (450ml),80,360,1.14,5.13,4.8,21.6,2.17,9.77,0.02,0.09,8.19,36.86,6.57,29.57,-,-,-,-,-,-,142,639,33,149,0.18,0.81,86.89,391.01,-,-,0.31,1.4,1.74,7.83,Trace,Trace,-,-,1.81,8.15,2.14,9.63,Trace,Trace,Trace,Trace,1.38,6.21,1.25,5.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Coconut shake (no topping),"Creamy beverage made with coconut ice cream, coconut water and no topping",Beverages,Fruit smoothies,100%,1 medium cup(s) = 450ml,1 large cup(s) = 600ml,Derived,2026,Per 100ml,Per Serving (450ml),75,338,0.6,2.7,2.93,13.19,2.37,10.67,0,0,11.59,52.16,9.05,40.73,-,-,-,-,-,-,120,540,22,99,0.23,1.04,87.51,393.8,-,-,-,-,-,-,-,-,-,-,2.77,12.47,4.36,19.62,0,0,0,0,0.95,4.27,0.91,4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,"Coconut avocado shake (no sugar, no topping)","Creamy beverage blending fresh avocado with coconut milk and ice, with no sugar and no topping",Beverages,Fruit smoothies,100%,1 medium cup(s) = 450ml,1 large cup(s) = 600ml,Derived,2026,Per 100ml,Per Serving (450ml),71,320,1.42,6.39,3.87,17.42,1.91,8.59,0.03,0.13,7.59,34.16,6.38,28.71,-,-,-,-,-,-,146,657,44,198,0.17,0.77,88.57,398.56,-,-,0.21,0.95,1.24,5.58,Trace,Trace,-,-,1.45,6.53,1.47,6.62,Trace,Trace,Trace,Trace,1.92,8.64,1.62,7.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,"Coconut avocado shake (less sugar, no topping)","Creamy beverage blending fresh avocado with coconut milk and ice, with lower sugar level and no topping",Beverages,Fruit smoothies,100%,1 medium cup(s) = 450ml,1 large cup(s) = 600ml,Derived,2026,Per 100ml,Per Serving (450ml),74,333,1.39,6.26,4.02,18.09,2.01,9.04,0.03,0.13,8.12,36.54,7,31.5,-,-,-,-,-,-,140,630,42,189,0.16,0.72,87.2,392.4,-,-,0.22,0.99,1.25,5.63,Trace,Trace,-,-,1.7,7.65,1.9,8.55,Trace,Trace,Trace,Trace,1.85,8.33,1.55,6.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Avocado smoothie,Thick beverage made from blended avocado,Beverages,Fruit smoothies,100%,1 medium cup(s) = 450ml,1 large cup(s) = 600ml,Derived,2026,Per 100ml,Per Serving (450ml),71,320,0.51,2.3,3.93,17.69,1.42,6.39,0,0,8.4,37.8,6.32,28.44,-,-,-,-,-,-,128,576,13,59,0.35,1.57,88.77,399.47,-,-,-,-,-,-,-,-,-,-,0.67,3.02,0.54,2.43,0.11,0.5,0,0,4.55,20.47,0.43,1.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,"Coconut shake (no sugar, no topping)","Creamy beverage made with coconut ice cream, coconut water, milk, with no sugar and no topping",Beverages,Fruit smoothies,100%,1 medium cup(s) = 450ml,1 large cup(s) = 600ml,Derived,2026,Per 100ml,Per Serving (450ml),55,248,0.7,3.15,2.86,12.87,2.33,10.49,0.01,0.05,6.54,29.43,4.31,19.4,-,-,-,-,-,-,136,612,28,126,0.18,0.81,91.35,411.08,-,-,-,-,-,-,-,-,-,-,0.9,4.05,1.13,5.09,0,0,0,0,1.2,5.4,1.05,4.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,"Coconut shake (less sugar, no topping)","Creamy beverage made with coconut ice cream, coconut water, milk, with lower sugar level and no topping",Beverages,Fruit smoothies,100%,1 medium cup(s) = 450ml,1 large cup(s) = 600ml,Derived,2026,Per 100ml,Per Serving (450ml),64,288,0.55,2.48,2.8,12.6,2.3,10.35,0,0,9.1,40.95,6.4,28.8,-,-,-,-,-,-,138,621,25,113,0.2,0.9,89.35,402.08,-,-,-,-,-,-,-,-,-,-,1.85,8.33,2.9,13.05,0,0,0,0,0.65,2.93,0.95,4.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Fruit juice drink,"Fruit beverage made with fruit juice concentrate, water and sweeteners",Beverages,Juice drinks,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),45,113,0.14,0.35,0.1,0.25,0.01,0.03,0,0,10.98,27.45,9.87,24.68,-,-,0.46,1.15,7,18,-,-,17,43,0.24,0.6,-,-,-,-,0.87,2.18,0.14,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158,395,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.95,57.37,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Fruit juice drink (less sugar),"Fruit beverage made with fruit juice concentrate, water and sweeteners, less sugar",Beverages,Juice drinks,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),20,50,0.05,0.13,0,0,0,0,0,0,5.24,13.1,4.7,11.75,-,-,0.25,0.63,9,23,-,-,2,5,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.1,35.25,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Fruit juice drink with pulp,"Fruit beverage made with fruit juice concentrate, water, sweeteners and added fruit pulp pieces",Beverages,Juice drinks,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),45,113,0,0,0,0,0,0,0,0,11.1,27.75,10.03,25.08,-,-,0,0,9,23,-,-,0,0,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.51,6.28,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Honey juice drink,Beverage made with fruit juice concentrate and honey,Beverages,Juice drinks,100%,1 bottle = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),42,105,0,0,0,0,0,0,0,0,10.36,25.9,8.4,21,-,-,0,0,5,13,-,-,0,0,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.39,25.98,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Lemon juice drink,"Beverage made with lemon juice concentrate, water and sweeteners",Beverages,Juice drinks,100%,1 bottle = 500ml,-,NIP,2025,Per 100ml,Per Serving (500ml),41,205,0,0,0,0,0,0,0,0,10.32,51.6,9.19,45.95,-,-,0,0,15,75,-,-,0,0,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,1000,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Lime juice/calamansi drink,Beverage made from lime juice concentrate and water,Beverages,Juice drinks,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),45,113,0.06,0.15,0.01,0.03,0,0,0,0,11.35,28.37,10.07,25.18,-,-,0.03,0.08,4,10,-,-,0,0,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.77,16.93,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Lychee juice drink,"Beverage made with lychee juice concentrate, water and sweeteners",Beverages,Juice drinks,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),30,75,0,0,0,0,0,0,0,0,7.58,18.95,5.5,13.75,-,-,0,0,1,3,-,-,0,0,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Mango juice drink,"Beverage made with mango juice concentrate, water and sweeteners",Beverages,Juice drinks,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),45,113,0.07,0.18,0.02,0.05,0,0,0,0,11.2,28,10.12,25.3,-,-,0.3,0.75,15,38,-,-,5,13,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.04,77.6,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Mixed fruit juice drink,"Beverage made with mixed fruit juice concentrate, water and sweeteners",Beverages,Juice drinks,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),42,105,0.31,0.78,0.17,0.43,0.01,0.03,0,0,9.55,23.88,9.3,23.25,-,-,0.43,1.08,11,28,-,-,26,65,0.56,1.4,-,-,-,-,0.87,2.18,0.14,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194.43,486.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,30,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Mixed vegetable and fruit juice drink,"Beverage made with mixed fruit and vegetable juice concentrate, water and sweeteners",Beverages,Juice drinks,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),49,123,0.22,0.55,0,0,0,0,0,0,11.75,29.38,0,0,-,-,1.33,3.33,23,58,-,-,5,13,0.08,0.2,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.2,85.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.65,139.13,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Orange juice drink,"Beverage made with orange juice concentrate, water and sweeteners",Beverages,Juice drinks,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),43,108,0.34,0.85,0.03,0.08,0,0,0,0,10.32,25.8,9.69,24.23,-,-,0.19,0.48,16,40,-,-,0,0,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170.26,425.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.33,128.33,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Orange juice drink (less sugar),"Beverage made with orange juice concentrate, water and less sweeteners",Beverages,Juice drinks,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),27,68,0.4,1,0,0,0,0,0,0,6.32,15.8,5.6,14,-,-,3.52,8.8,33,83,-,-,0,0,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,237.5,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Orange juice drink with pulp,"Beverage made with orange juice concentrate, water, sweeteners and orange pulp pieces",Beverages,Juice drinks,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),41,103,0.63,1.58,0,0,0,0,0,0,10.29,25.73,9.44,23.6,-,-,0.32,0.8,7,18,-,-,0,0,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.16,157.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.7,29.25,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Pineapple juice drink,"Beverage made with pineapple juice concentrate, water and sweeteners",Beverages,Juice drinks,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),51,128,0.15,0.38,0,0,0,0,0,0,12.6,31.5,11.64,29.1,-,-,0.07,0.18,3,8,-,-,11,28,0,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.43,63.58,-,-,-,-,-,-,-,-,-,-,-,-
