id,dish_name,other_names,category,food_group,food_subgroup,description,serving_default_desc,serving_basis,kcal_default,kcal_per_100,per100_unit,protein_g,carbs_g,fat_g,portion_note,input_mode,is_favourite,source,last_updated
ban-mian-soup,Ban mian (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Hand-made flat wheat noodles served in soup with minced pork, mushrooms, anchovies, vegetables and egg",1 bowl(s) = 792g,Per Serving (792g),610,77,Per 100g,25.66,88.31,17.42,,photo,FALSE,Lab Analysis,2025
beef-ball-kway-teow-soup,Beef ball kway teow soup,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Broad, flat rice noodles with beef balls in a soup",1 bowl(s) = 550g,Per Serving (550g),627,114,Per 100g,38.5,86.35,14.3,,photo,FALSE,Lab Analysis,2010
beef-bolognese,Beef bolognese,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Italian pasta sauce made with minced beef, tomatoes and herbs served over pasta",1 plate(s) = 410g,Per Serving (410g),586,143,Per 100g,34.52,60.02,23.17,,photo,FALSE,Lab Analysis,2023
beef-dao-xiao-mian-soup,Beef dao xiao mian (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Hand-shaved noodles in beef broth with sliced beef, leafy greens and spring onions",1 bowl(s) = 990g,Per Serving (990g),693,70,Per 100g,46.43,109.89,7.13,,photo,FALSE,Lab Analysis,2018
beef-hor-fun,Beef hor fun,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Stir-fried kway teow noodles with beef, vegetables and egg gravy",1 plate(s) = 682g,Per Serving (682g),662,97,Per 100g,16.3,97.53,23.19,,photo,FALSE,Lab Analysis,2025
beef-noodles-dry,Beef noodles (dry),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Noodles with sliced beef, vegetables and gravy, served with chilli and lime",1 bowl(s) = 497g,Per Serving (497g),475,96,Per 100g,19.75,83.9,6.68,,photo,FALSE,Lab Analysis,2025
beef-noodles-soup,Beef noodles (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Noodles served with sliced beef and vegetables in soup,1 bowl(s) = 785g,Per Serving (785g),589,75,Per 100g,45.14,87.14,7.07,,photo,FALSE,Lab Analysis,2025
beef-pho,Beef pho,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Vietnamese rice noodle soup with sliced beef and beef balls in broth flavoured with star anise and herbs,1 bowl(s) = 879g,Per Serving (879g),765,87,Per 100g,56.61,106.27,12.92,,photo,FALSE,Lab Analysis,2026
beef-tripe-noodles-soup,Beef tripe noodles (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Noodles with beef tripe in clear broth,1 bowl(s) = 293g,Per Serving (293g),398,136,Per 100g,31.64,41.02,12.01,,photo,FALSE,Lab Analysis,2010
beef-udon-soup,Beef udon (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Japanese udon noodles served with sliced beef in soup,1 bowl(s) = 632g,Per Serving (632g),461,73,Per 100g,24.52,54.6,15.8,,photo,FALSE,Lab Analysis,2010
beehoon-soup,Beehoon (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Bee hoon with fishballs and vegetables in soup,1 bowl(s) = 675g,Per Serving (675g),162,24,Per 100g,14.38,20.59,2.7,,photo,FALSE,Lab Analysis,2025
beehoon-soto,Beehoon soto,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Rice vermicelli in spiced yellow chicken soup,1 bowl(s) = 747g,Per Serving (747g),665,89,Per 100g,35.86,82.39,21.66,,photo,FALSE,Lab Analysis,2026
braised-beef-tendon-noodles-soup,Braised beef tendon noodles (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Braised beef tendon with rice noodles served in soup,1 bowl(s) = 444g,Per Serving (444g),462,104,Per 100g,33.74,69.26,5.33,,photo,FALSE,Lab Analysis,2010
carbonara,Carbonara,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Italian pasta dish with creamy sauce made from eggs, cheese, black pepper and pancetta or bacon",1 plate(s) = 451g,Per Serving (451g),735,163,Per 100g,31.39,79.6,32.47,,photo,FALSE,Lab Analysis,2023
char-kway-teow,Char kway teow,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Mixture of broad, flat rice noodles and yellow noodles stir-fried with cockles, Chinese sausage, sliced fishcake, vegetables and egg in sweet dark soy sauce",1 plate(s) = 480g,Per Serving (480g),989,206,Per 100g,25.73,125.04,42.72,,photo,FALSE,Lab Analysis,2025
char-siew-noodles,Char siew noodles,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Yellow noodles stir-fried with vegetables, char siew and spring onion in soya sauce",1 plate(s) = 380g,Per Serving (380g),528,139,Per 100g,26.98,64.41,18.05,,photo,FALSE,Lab Analysis,2025
chashu-ramen,Chashu ramen,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Japanese-style egg noodles topped with 2 slices of pork charsiew, black fungus, seaweed, bean sprouts and green onions in rich broth",1 bowl(s) = 591g,Per Serving (591g),585,99,Per 100g,33.69,70.92,18.62,,photo,FALSE,Lab Analysis,2025
chicken-and-mushroom-noodles-dry,Chicken and mushroom noodles (dry),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Dry egg noodles with shredded chicken, mushroom and green vegetables in oyster sauce gravy",1 bowl(s) = 397g,Per Serving (397g),441,111,Per 100g,26.6,50.42,14.69,,photo,FALSE,Lab Analysis,2010
chicken-and-mushroom-noodles-soup,Chicken and mushroom noodles (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Egg noodles in broth with chicken and black mushrooms,1 bowl(s) = 653g,Per Serving (653g),346,53,Per 100g,28.73,43.75,6.53,,photo,FALSE,Lab Analysis,2010
chicken-chop-spaghetti,Chicken chop spaghetti,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Chicken chop with gravy and tomato spaghetti,1 piece(s) = 617g,Per Serving (617g),802,130,Per 100g,53.62,80.95,29.12,,photo,FALSE,Derived,2026
chicken-feet-noodles-dry,Chicken feet noodles (dry),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Braised chicken feet served with noodle, dry",1 bowl(s) = 409g,Per Serving (409g),487,119,Per 100g,20.04,64.62,16.36,,photo,FALSE,Lab Analysis,2010
chicken-feet-noodles-soup,Chicken feet noodles (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Braised chicken feet served with noodle in soup,1 bowl(s) = 628g,Per Serving (628g),452,72,Per 100g,25.12,53.38,15.7,,photo,FALSE,Lab Analysis,2010
chicken-macaroni-soup,Chicken macaroni soup,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Boiled macaroni with chicken and vegetables in chicken broth,1 bowl(s) = 606g,Per Serving (606g),279,46,Per 100g,19.39,37.27,5.76,,photo,FALSE,Lab Analysis,2025
chilli-ban-mian,Chilli ban mian,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Hand made flat wheat noodles in spicy broth with minced pork, mushrooms, anchovies and vegetable",1 bowl(s) = 411g,Per Serving (411g),678,165,Per 100g,31.4,82.78,24.66,,photo,FALSE,Lab Analysis,2023
claypot-ee-mee,Claypot ee mee,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Ee mee with fried tofu, carrot, cabbage, mushroom, in claypot",1 plate(s) = 500g,Per Serving (500g),470,94,Per 100g,18,41.5,25.5,,photo,FALSE,Lab Analysis,2010
crayfish-hor-fun,Crayfish hor fun,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Stir-fried rice noodle, with crayfish with shell, black mushroom and shredded chicken meat, in soya gravy",1 plate(s) = 602g,Per Serving (602g),486,85,Per 100g,12.18,70.11,17.73,,photo,FALSE,Lab Analysis,2010
crayfish-pasta,Crayfish pasta,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Pasta tossed with crayfish meat in creamy or tomato-based sauce,1 plate(s) = 562g,Per Serving (562g),742,132,Per 100g,31.47,73.06,36.14,,photo,FALSE,Lab Analysis,2018
creamy-chicken-pasta,Creamy chicken pasta,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Pasta tossed with diced chicken in rich white cream sauce,1 plate(s) = 530g,Per Serving (530g),843,159,Per 100g,43.99,62.01,46.69,,photo,FALSE,Lab Analysis,2018
creamy-mushroom-pasta,Creamy mushroom pasta,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Pasta tossed with assorted mushrooms in rich white cream sauce,1 plate(s) = 442g,Per Serving (442g),597,135,Per 100g,18.56,56.58,32.93,,photo,FALSE,Lab Analysis,2018
curry-chicken-noodles,Curry chicken noodles,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Chicken and potato simmered with curry spices, coconut milk and tofu, served with noodles",1 bowl(s) = 685g,Per Serving (685g),680,102,Per 100g,39.15,48.36,36.35,,photo,FALSE,Lab Analysis,2025
dan-dan-noodles,Dan dan noodles,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Sichuan-style noodles with spicy minced pork sauce and vegetables in soup,1 bowl(s) = 516g,Per Serving (516g),789,153,Per 100g,18.89,83.08,42.05,,photo,FALSE,Lab Analysis,2025
double-fish-beehoon-soup-no-milk,Double fish beehoon soup (no milk),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Mix of fresh and deep-fried sliced fish pieces, vegetables and thick beehoon in clear broth",1 bowl(s) = 801g,Per Serving (801g),473,59,Per 100g,21.63,77.54,13.7,,photo,FALSE,Derived,2026
double-fish-beehoon-soup-with-milk,Double fish beehoon soup (with milk),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Mix of fresh and deep-fried sliced fish pieces, vegetables and thick beehoon in creamy soup broth from the addition of evaporated milk",1 bowl(s) = 818g,Per Serving (818g),515,63,Per 100g,23.64,66.75,19.96,,photo,FALSE,Derived,2026
duck-noodles-dry,Duck noodles (dry),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Egg noodles with shredded braised duck meat, skin and green vegetables in black gravy",1 plate(s) = 366g,Per Serving (366g),484,134,Per 100g,23.97,61.17,15.83,,photo,FALSE,Derived,2026
duck-noodles-soup,Duck noodles (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Thin egg noodles with shredded braised duck meat, skin and green vegetables served in soup",1 bowl(s) = 758g,Per Serving (758g),523,69,Per 100g,32.22,77.85,9.48,,photo,FALSE,Lab Analysis,2026
economic-beehoon-curry-vegetables-luncheon-meat-fried-egg,"Economic beehoon (curry vegetables, luncheon meat, fried egg)",,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Stir-fried rice vermicelli served with curry vegetables, luncheon meat and fried egg",1 plate(s) = 591g,Per Serving (591g),804,136,Per 100g,22.4,89,39.72,,photo,FALSE,Derived,2026
economic-beehoon-other-vegetables-luncheon-meat-fried-egg,"Economic beehoon (other vegetables, luncheon meat, fried egg)",,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Stir-fried rice vermicelli served with other various vegetables, deep-fried luncheon meat and egg",1 plate(s) = 386g,Per Serving (386g),621,161,Per 100g,17.72,78.9,25.78,,photo,FALSE,Derived,2026
economic-beehoon-with-chicken-cutlet-and-egg,Economic beehoon with chicken cutlet and egg,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Stir-fried rice vermicelli served with deep-fried chicken cutlet and egg,1 plate(s) = 488g,Per Serving (488g),996,204,Per 100g,51.73,90.72,47.29,,photo,FALSE,Derived,2026
economic-beehoon-with-chicken-wing-and-egg,Economic beehoon with chicken wing and egg,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Stir-fried rice vermicelli served with deep-fried chicken wing,1 plate(s) = 350g,Per Serving (350g),581,180,Per 100g,25.09,67.32,23.31,,photo,FALSE,Derived,2026
economic-beehoon-with-fishcake-and-egg,Economic beehoon with fishcake and egg,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Stir-fried rice vermicelli served with fishcake and egg,1 plate(s) = 335g,Per Serving (335g),492,147,Per 100g,18.96,69.85,15.18,,photo,FALSE,Derived,2026
economic-beehoon-with-fishcake-fish-cake-fillet-and-egg,"Economic beehoon with fishcake, fish cake fillet and egg",,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Stir-fried rice vermicelli served with fishcake, deep-fried fish paste shaped into fillet and egg",1 plate(s) = 385g,Per Serving (385g),574,149,Per 100g,24.06,80.27,17.33,,photo,FALSE,Derived,2026
economic-beehoon-with-otah-chicken-wing-and-egg,"Economic beehoon with otah, chicken wing and egg",,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Stir-fried rice vermicelli served with griled spicy fish paste (otah), deep-fried chicken wing and egg",1 plate(s) = 379g,Per Serving (379g),608,173,Per 100g,26.8,68.79,25.15,,photo,FALSE,Derived,2026
fish-ball-tunghoon-soup,Fish ball tunghoon (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Tunghoon served in soup, together with fish balls, thinly sliced fish cake and bean sprouts",1 bowl(s) = 527g,Per Serving (527g),216,41,Per 100g,11.86,37.73,2.16,,photo,FALSE,Lab Analysis,2010
fishball-noodles-dry,Fishball noodles (dry),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Noodles with 5 fishballs, fishcake and sliced vegetables served with sauce",1 bowl(s) = 377g,Per Serving (377g),532,141,Per 100g,20.4,76.53,15.83,,photo,FALSE,Lab Analysis,2025
fishball-noodles-soup,Fishball noodles (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Thick, yellow egg noodles served in soup with 5 fishballs, thinly sliced fishcake and vegetables",1 bowl(s) = 798g,Per Serving (798g),519,65,Per 100g,33.52,82.19,5.98,,photo,FALSE,Lab Analysis,2025
fried-fish-beehoon-soup-no-milk,Fried fish beehoon soup (no milk),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Deep-fried sliced fish pieces, vegetables and thick beehoon in clear broth",1 bowl(s) = 793g,Per Serving (793g),555,70,Per 100g,22.36,77.24,20.86,,photo,FALSE,Derived,2026
fried-fish-beehoon-soup-with-milk,Fried fish beehoon soup (with milk),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Deep-fried sliced fish pieces, vegetables and thick beehoon in creamy soup broth from the addition of evaporated milk",1 bowl(s) = 848g,Per Serving (848g),619,73,Per 100g,21.54,80.05,29,,photo,FALSE,Derived,2026
fried-mee-siam,Fried mee siam,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Thin rice bee hoon with hard-boiled egg and fried beancurd, stir-fried in tangy soup-based gravy till dry, served with lime",1 plate(s) = 343g,Per Serving (343g),596,177,Per 100g,16.14,78.52,24.26,,photo,FALSE,Lab Analysis,2025
fried-seafood-noodles,Fried seafood noodles,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Thin egg noodle fried with seafood and lettuce,1 plate(s) = 482g,Per Serving (482g),824,171,Per 100g,33.74,87.29,37.6,,photo,FALSE,Lab Analysis,2026
fried-tunghoon,Fried tunghoon,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Glass noodles fried with prawn, black mushroom and chye sim",1 plate(s) = 437g,Per Serving (437g),498,114,Per 100g,17.04,54.19,23.6,,photo,FALSE,Lab Analysis,2010
grilled-fish-pasta,Grilled fish pasta,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Grilled salmon fillet, served with tomato based pasta",1 plate(s) = 491g,Per Serving (491g),707,144,Per 100g,41.29,70.46,29.07,,photo,FALSE,Derived,2026
hokkien-mee,Hokkien mee,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Fried mixture of yellow noodles and thick rice vermicelli with prawns, squid, pork and eggs, served with lime",1 plate(s) = 549g,Per Serving (549g),830,152,Per 100g,29.48,79.44,43.41,,photo,FALSE,Lab Analysis,2025
indian-style-beehoon-goreng,Indian style beehoon goreng,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Thin rice noodles stir fried with eggs and tomato sauce,1 plate(s) = 441g,Per Serving (441g),697,158,Per 100g,24.48,80.53,30.83,,photo,FALSE,Lab Analysis,2023
ipoh-hor-fun,Ipoh hor fun,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Broad rice noodles topped with shredded chicken, braised black mushrooms and vegetables, served with gravy",1 bowl(s) = 430g,Per Serving (430g),447,104,Per 100g,16.77,76.97,7.74,,photo,FALSE,Lab Analysis,2025
kolo-mee,Kolo mee,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Sarawak-style dry noodles tossed in shallot oil with minced pork and char siu,1 bowl(s) = 318g,Per Serving (318g),604,190,Per 100g,32.85,61.31,25.12,,photo,FALSE,Lab Analysis,2023
kway-chap,Kway chap,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Flat rice noodles with braised pork, pig's intestines and kidney, egg and beancurd puff in dark soup",1 bowl(s) = 928g,Per Serving (928g),1021,110,Per 100g,49.09,115.35,40.92,,photo,FALSE,Derived,2026
laksa,Laksa,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Thick rice vermicelli served with thick coconut milk soup, beancurd, cockles and fishcake",1 bowl(s) = 604g,Per Serving (604g),429,71,Per 100g,19.99,47.41,17.82,,photo,FALSE,Lab Analysis,2025
lor-mee,Lor mee,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Yellow noodles with meat, egg and fishcake in thick dark gravy",1 bowl(s) = 716g,Per Serving (716g),695,97,Per 100g,25.13,105.97,18.97,,photo,FALSE,Lab Analysis,2025
mac-and-cheese,Mac and cheese,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Macaroni pasta in creamy cheese sauce,1 plate(s) = 140g,Per Serving (140g),196,140,Per 100g,6.03,34.22,3.85,,photo,FALSE,Lab Analysis,2023
marinara-pasta,Marinara pasta,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Pasta served with tomato-based marinara sauce,1 plate(s) = 453g,Per Serving (453g),467,103,Per 100g,15.63,77.96,9.97,,photo,FALSE,Lab Analysis,2026
meatball-pasta,Meatball pasta,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Beef or pork meatballs with pasta in tomato-based sauce,1 plate(s) = 540g,Per Serving (540g),589,109,Per 100g,33.97,60.97,23.17,,photo,FALSE,Lab Analysis,2018
mee-bandung,Mee bandung,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Yellow noodle with prawn, chye sim, egg, cucumber, pea, onion, tomato, cabbage, tomato, chilli sauce, fried",1 bowl(s) = 330g,Per Serving (330g),327,99,Per 100g,14.19,41.25,11.55,,photo,FALSE,Lab Analysis,2010
mee-goreng,Mee goreng,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Yellow noodles fried with egg and tomato sauce, served with cucumber",1 plate(s) = 465g,Per Serving (465g),856,184,Per 100g,26.46,111.37,33.95,,photo,FALSE,Lab Analysis,2025
mee-hoon-kway-dry,Mee hoon kway (dry),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Dry hand-made noodle, served with beaten egg, minced pork, chye sim and ikan bilis",1 bowl(s) = 422g,Per Serving (422g),603,143,Per 100g,26.54,84.1,17.94,,photo,FALSE,Lab Analysis,2023
mee-hoon-kway-soup,Mee hoon kway (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Hand-made noodles in broth with beaten egg, minced pork, anchovies and vegetables",1 bowl(s) = 901g,Per Serving (901g),883,98,Per 100g,37.21,122.99,27.03,,photo,FALSE,Lab Analysis,2025
mee-kuah,Mee kuah,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Thick yellow noodles soaked in a thick spicy orange red gravy, filled with onion slices, and bits of minced mutton",1 bowl(s) = 533g,Per Serving (533g),533,100,Per 100g,4.21,37.31,40.72,,photo,FALSE,Lab Analysis,2010
mee-rebus,Mee rebus,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Thick, yellow egg noodles served in thick spicy gravy with hard-boiled eggs, tofu, vegetables, shallots, lime and chilli",1 plate(s) = 619g,Per Serving (619g),729,118,Per 100g,26.27,99.19,25.34,,photo,FALSE,Lab Analysis,2025
mee-siam,Mee siam,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Thin rice bee hoon with hard-boiled egg, tofu and lime, served in spicy, tangy asam-based soup",1 plate(s) = 731g,Per Serving (731g),864,119,Per 100g,23.09,124.15,30.49,,photo,FALSE,Lab Analysis,2025
mee-soto,Mee soto,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Yellow noodles with shredded chicken in spicy soup,1 bowl(s) = 622g,Per Serving (622g),442,71,Per 100g,20.59,77.75,5.29,,photo,FALSE,Lab Analysis,2025
mini-thai-pork-boat-noodles-soup,Mini Thai pork boat noodles (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Thai-style mini pork meatballs with kway teow soup and vegetables,1 bowl(s) = 250g,Per Serving (250g),188,75,Per 100g,10,24.5,5.48,,photo,FALSE,Lab Analysis,2018
mini-wok-noodles-soup,Mini wok noodles (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Seasoned egg noodles (mee pok) served with soup containing seafood, minced meat, vegetables, egg and tofu",1 set(s) = 811g,Per Serving (811g),846,105,Per 100g,50.71,79.97,35.87,,photo,FALSE,Derived,2026
miso-ramen,Miso ramen,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Japanese-style egg noodles topped with preserved radish, fishcakes, sliced pork charsiew and seaweed in miso-based broth",1 bowl(s) = 682g,Per Serving (682g),791,116,Per 100g,43.65,79.59,32.74,,photo,FALSE,Lab Analysis,2026
penang-prawn-noodles,Penang prawn noodles,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Yellow noodles served with whole prawns in spicy prawn-based broth,1 bowl(s) = 685g,Per Serving (685g),527,77,Per 100g,32.88,70.56,8.91,,photo,FALSE,Lab Analysis,2010
pesto-pasta,Pesto pasta,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Plain pasta with served pesto sauce,1 plate(s) = 415g,Per Serving (415g),813,196,Per 100g,21.04,79.27,45.86,,photo,FALSE,Lab Analysis,2025
plain-fried-beehoon,Plain fried beehoon,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Rice noodles, with bean sprouts, fried",1 plate(s) = 238g,Per Serving (238g),343,144,Per 100g,5.62,66.19,6.09,,photo,FALSE,Derived,2026
plain-fried-yellow-noodles,Plain fried yellow noodles,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Stir-fried yellow wheat noodles,1 plate(s) = 240g,Per Serving (240g),338,141,Per 100g,10.8,54.48,8.64,,photo,FALSE,Lab Analysis,2010
pork-chop-spaghetti,Pork chop spaghetti,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Pork chop with tomato spaghetti,1 plate(s) = 406g,Per Serving (406g),459,113,Per 100g,34.27,39.87,17.86,,photo,FALSE,Lab Analysis,2018
pork-dumpling-ban-mian-soup,Pork dumpling ban mian (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Hand made flat wheat noodles with pork dumplings in soup,1 bowl(s) = 894g,Per Serving (894g),635,71,Per 100g,31.29,87.52,17.97,,photo,FALSE,Lab Analysis,2018
pork-kidney-meesua-soup,Pork kidney meesua soup,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Thin rice noodles cooked with pork kidney and green vegetables, boiled",1 bowl(s) = 578g,Per Serving (578g),277,48,Per 100g,15.61,38.15,7.51,,photo,FALSE,Lab Analysis,2010
pork-ribs-noodles,Pork ribs noodles,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Yellow noodles with 5 pieces of braised pork ribs, black mushroom and chye sim in soya gravy",1 plate(s) = 631g,Per Serving (631g),1048,175,Per 100g,70.98,79.37,49.42,,photo,FALSE,Lab Analysis,2025
pork-wanton-in-chilli-vinaigrette-noodles-dry,Pork wanton in chilli vinaigrette noodles (dry),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,Noodles with pork dumplings in spicy vinegar sauce,1 plate(s) = 511g,Per Serving (511g),981,192,Per 100g,39.35,105.52,44.46,,photo,FALSE,Lab Analysis,2023
prawn-aglio-olio,Prawn aglio olio,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Spaghetti drizzled with olive oil, served with prawn and chilli padi",1 plate(s) = 481g,Per Serving (481g),919,230,Per 100g,31.89,95.34,21.42,,photo,FALSE,Derived,2026
prawn-noodles-dry,Prawn noodles (dry),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Yellow noodles served with whole prawns, lean pork and gravy",1 bowl(s) = 396g,Per Serving (396g),389,130,Per 100g,14.97,60.38,9.71,,photo,FALSE,Lab Analysis,2025
prawn-noodles-soup,Prawn noodles (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Yellow noodles served with whole prawns, lean pork, fishcake and vegetables in prawn-based soup",1 bowl(s) = 732g,Per Serving (732g),478,66,Per 100g,24.29,77.57,8.34,,photo,FALSE,Lab Analysis,2025
red-wine-chicken-meesua,Red wine chicken meesua,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Meesua in red wine chicken soup, radish and vegetables",1 bowl(s) = 669g,Per Serving (669g),431,70,Per 100g,38.78,38.78,13.54,,photo,FALSE,Lab Analysis,2010
satay-beehoon,Satay beehoon,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Beehoon with cuttlefish and kangkong, served in satay sauce",1 plate(s) = 492g,Per Serving (492g),679,138,Per 100g,25.83,68.39,33.7,,photo,FALSE,Lab Analysis,2026
seafood-beehoon-soup,Seafood beehoon (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Thick beehoon, cooked with prawn, with shell, squids, fish slices, seaweed, pork and green vegetablees, in soup",1 bowl(s) = 863g,Per Serving (863g),390,48,Per 100g,25.2,59.43,5.69,,photo,FALSE,Lab Analysis,2026
seafood-claypot-noodles,Seafood claypot noodles,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Egg noodles cooked with seafood and vegetables, served in a claypot",1 bowl(s) = 555g,Per Serving (555g),677,122,Per 100g,29.97,42.18,43.29,,photo,FALSE,Lab Analysis,2010
seafood-ee-mee,Seafood ee mee,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Egg noodles cooked with mixed seafood and vegetables, boiled",1 plate(s) = 572g,Per Serving (572g),721,126,Per 100g,40.9,78.08,25.68,,photo,FALSE,Lab Analysis,2010
seafood-hor-fun,Seafood hor fun,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Fried flat rice noodles with prawns, crabstick, sliced fish and vegetables, served in thick egg-based gravy",1 plate(s) = 676g,Per Serving (676g),586,87,Per 100g,16.65,86.61,18.87,,photo,FALSE,Lab Analysis,2025
seafood-tom-yum-ban-mian-soup,Seafood tom yum ban mian (soup),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Thai-style, spicy and tangy soup, cooked with mixed seafood and hand made flat wheat noodles",1 bowl(s) = 1057g,Per Serving (1057g),613,58,Per 100g,33.72,89.74,13.64,,photo,FALSE,Lab Analysis,2018
shoyu-ramen,Shoyu ramen,,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Japanese-style egg noodles topped with sliced pork charsiew, fish cake and bamboo shoots in soy sauce-based broth",1 bowl(s) = 659g,Per Serving (659g),633,96,Per 100g,33.54,61.29,27.88,,photo,FALSE,Lab Analysis,2018
shrimp-dumpling-noodles-dry,Shrimp dumpling noodles (dry),,Grains and staples,Grains and staples,Noodle/Pasta-based dishes,"Egg noodle with boiled shrimp dumplings, served dry with gravy",1 bowl(s) = 399g,Per Serving (399g),547,137,Per 100g,24.94,60.57,22.94,,photo,FALSE,Lab Analysis,2023
